"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
8.582291659E-3,8.373443604E0,-8.609428406E0,-5.451478577E1,5.582202686E1
1.854429173E-2,8.345367432E0,-8.584617615E0,-5.446456909E1,5.576495408E1
2.850629168E-2,8.347747803E0,-8.574211121E0,-5.439932251E1,5.569998455E1
3.846829163E-2,8.367950439E0,-8.684471130E0,-5.446450806E1,5.578373662E1
4.843029170E-2,8.409332275E0,-8.662002563E0,-5.472257996E1,5.603845032E1
5.839229166E-2,8.483978271E0,-8.601600647E0,-5.463250732E1,5.595244657E1
6.835429172E-2,8.425323486E0,-8.607940674E0,-5.452839661E1,5.584289350E1
7.831629168E-2,8.323699951E0,-8.664199829E0,-5.457366943E1,5.588056670E1
8.827829163E-2,8.427032471E0,-8.731101990E0,-5.442802429E1,5.576429724E1
9.824029170E-2,8.434722900E0,-8.663314819E0,-5.444728088E1,5.577368528E1
1.082022917E-1,8.464752197E0,-8.727813721E0,-5.418353271E1,5.553091013E1
1.181642917E-1,8.333404541E0,-8.621086121E0,-5.405683899E1,5.537066551E1
1.281262917E-1,8.444244385E0,-8.575454712E0,-5.430807495E1,5.562562981E1
1.380882916E-1,8.414764404E0,-8.524513245E0,-5.448088074E1,5.578209347E1
1.480502917E-1,8.322784424E0,-8.580818176E0,-5.442578125E1,5.572310872E1
1.580122916E-1,8.494903564E0,-8.722267151E0,-5.451103210E1,5.585422054E1
1.679752917E-1,8.432464600E0,-8.672775269E0,-5.462261963E1,5.594599240E1
1.779372917E-1,8.357086182E0,-8.686859131E0,-5.484701538E1,5.615601043E1
1.878992916E-1,8.318206787E0,-8.590347290E0,-5.450028992E1,5.579666864E1
1.978612917E-1,8.427886963E0,-8.731307983E0,-5.453935242E1,5.587312395E1
2.078232917E-1,8.385345459E0,-8.675651550E0,-5.450636292E1,5.582584121E1
2.177852917E-1,8.345001221E0,-8.755378723E0,-5.457791138E1,5.590209399E1
2.277472917E-1,8.324493408E0,-8.754119873E0,-5.463859558E1,5.595809086E1
2.377092916E-1,8.380767822E0,-8.708877563E0,-5.451304626E1,5.583685191E1
2.476712917E-1,8.394622803E0,-8.716056824E0,-5.445530701E1,5.578368758E1
2.576332917E-1,8.423553467E0,-8.759849548E0,-5.440412903E1,5.574495917E1
2.675952917E-1,8.411102295E0,-8.687149048E0,-5.430546570E1,5.563539166E1
2.775572917E-1,8.379547119E0,-8.707252502E0,-5.443888855E1,5.576401745E1
2.875192916E-1,8.344329834E0,-8.722946167E0,-5.456150818E1,5.588090734E1
2.974812917E-1,8.384429932E0,-8.671829224E0,-5.449739075E1,5.581634963E1
3.074432916E-1,8.432830811E0,-8.656539917E0,-5.470729065E1,5.602620788E1
3.174052917E-1,8.458831787E0,-8.670104980E0,-5.454122925E1,5.587010152E1
3.273667917E-1,8.393402100E0,-8.662544250E0,-5.453488159E1,5.585286190E1
3.373287917E-1,8.361358643E0,-8.729614258E0,-5.468109131E1,5.600125204E1
3.472907917E-1,8.602142334E0,-8.883644104E0,-5.463874817E1,5.602061037E1
3.572527916E-1,8.467559814E0,-8.778503418E0,-5.452911377E1,5.587652405E1
3.672147917E-1,8.539459229E0,-8.745468140E0,-5.470259094E1,5.605157476E1
3.771777917E-1,8.362518311E0,-8.731697083E0,-5.459585571E1,5.591852741E1
3.871397916E-1,8.400482178E0,-8.700675964E0,-5.454002380E1,5.586487322E1
3.971017917E-1,8.426177979E0,-8.542015076E0,-5.462132263E1,5.592365674E1
4.070637916E-1,8.462066650E0,-8.753837585E0,-5.484445190E1,5.617962397E1
4.170257917E-1,8.485321045E0,-8.741622925E0,-5.476979065E1,5.610834708E1
4.269877917E-1,8.462066650E0,-8.668548584E0,-5.471957397E1,5.604446523E1
4.369497916E-1,8.487762451E0,-8.616622925E0,-5.461270142E1,5.593599430E1
4.469117917E-1,8.341644287E0,-8.650573730E0,-5.454959106E1,5.585761667E1
4.568737916E-1,8.487640381E0,-8.690422058E0,-5.471006775E1,5.604243917E1
4.668357917E-1,8.470611572E0,-8.709449768E0,-5.477555847E1,5.610675166E1
4.767977917E-1,8.597625732E0,-8.815345764E0,-5.469078064E1,5.605988741E1
4.867597917E-1,8.521270752E0,-8.741409302E0,-5.464820862E1,5.599509797E1
4.967217917E-1,8.282562256E0,-8.692993164E0,-5.451744080E1,5.582401203E1
5.066837916E-1,8.359039307E0,-8.685150146E0,-5.455032349E1,5.586629721E1
5.166457917E-1,8.614227295E0,-8.811553955E0,-5.453649902E1,5.591134161E1
5.266077917E-1,8.627044678E0,-8.814788818E0,-5.448651123E1,5.586507234E1
5.365697917E-1,8.471221924E0,-8.700920105E0,-5.454214478E1,5.587766252E1
5.465317917E-1,8.445220947E0,-8.665061951E0,-5.479893494E1,5.611887673E1
5.564937916E-1,8.519683838E0,-8.693687439E0,-5.483627319E1,5.617100739E1
5.664557917E-1,8.534515381E0,-8.668167114E0,-5.464912415E1,5.598662201E1
5.764177917E-1,8.424652100E0,-8.856506348E0,-5.463446045E1,5.598514746E1
5.863807917E-1,8.259307861E0,-8.726219177E0,-5.458024597E1,5.588708543E1
5.963427917E-1,8.359710693E0,-8.669029236E0,-5.462742615E1,5.593918589E1
6.063047916E-1,8.320098877E0,-8.602439880E0,-5.458319092E1,5.587978837E1
6.162667917E-1,8.364959717E0,-8.684005737E0,-5.463224792E1,5.594700189E1
6.262287917E-1,8.362030029E0,-8.867324829E0,-5.445590210E1,5.580321021E1
6.361907917E-1,8.483245850E0,-8.891098022E0,-5.442010498E1,5.579036575E1
6.461527917E-1,8.473297119E0,-8.820617676E0,-5.454853821E1,5.590297918E1
6.561147916E-1,8.602264404E0,-8.750686646E0,-5.466560364E1,5.602590196E1
6.660767917E-1,8.523529053E0,-8.659904480E0,-5.467010498E1,5.600415049E1
6.760387917E-1,8.428558350E0,-8.702445984E0,-5.466600037E1,5.599236339E1
6.860007917E-1,8.426483154E0,-8.663955688E0,-5.474464417E1,5.606287373E1
6.959627917E-1,8.389923096E0,-8.809089661E0,-5.462631226E1,5.596449643E1
7.059247916E-1,8.375885010E0,-8.700210571E0,-5.459356689E1,5.591338534E1
7.158867917E-1,8.656646729E0,-8.741775513E0,-5.463015747E1,5.599830602E1
7.258487917E-1,8.611297607E0,-8.693321228E0,-5.474465942E1,5.609550798E1
7.358107917E-1,8.557220459E0,-8.659820557E0,-5.457516479E1,5.591660868E1
7.457727917E-1,8.459320068E0,-8.634826660E0,-5.486584473E1,5.618168069E1
7.557347916E-1,8.568084717E0,-8.618095398E0,-5.472073364E1,5.605392345E1
7.656967917E-1,8.488983154E0,-8.644264221E0,-5.466537476E1,5.599186848E1
7.756587917E-1,8.632354736E0,-8.741020203E0,-5.473320007E1,5.609497458E1
7.856207917E-1,8.548797607E0,-8.591186523E0,-5.455186462E1,5.588198601E1
7.955837917E-1,8.531829834E0,-8.619377136E0,-5.456922913E1,5.590068470E1
8.055457916E-1,8.658172607E0,-8.667091370E0,-5.485978699E1,5.621101897E1
8.155077917E-1,8.677032471E0,-8.901535034E0,-5.470332336E1,5.609796614E1
8.254697917E-1,8.689605713E0,-8.746902466E0,-5.465904236E1,5.603238761E1
8.354317917E-1,8.714752197E0,-8.870750427E0,-5.479640198E1,5.618970358E1
8.453937917E-1,8.508270264E0,-8.731857300E0,-5.468098450E1,5.602362056E1
8.553557916E-1,8.605987549E0,-8.758575439E0,-5.467561340E1,5.603747288E1
8.653177917E-1,8.635772705E0,-8.821311951E0,-5.462678528E1,5.600426577E1
8.752797917E-1,8.583404541E0,-8.747268677E0,-5.446977234E1,5.583140372E1
8.852417917E-1,8.687469482E0,-8.703056335E0,-5.467941284E1,5.604510241E1
8.952037917E-1,8.469451904E0,-8.509414673E0,-5.478689575E1,5.608694768E1
9.051657916E-1,8.588348389E0,-8.556587219E0,-5.482202148E1,5.614649546E1
9.151277917E-1,8.623931885E0,-8.624061584E0,-5.468119812E1,5.602481653E1
9.250897916E-1,8.582611084E0,-8.663345337E0,-5.478128052E1,5.612221896E1
9.350517917E-1,8.585723877E0,-8.661483765E0,-5.482069397E1,5.616088000E1
9.450137917E-1,8.682830811E0,-8.821701050E0,-5.473776245E1,5.611984140E1
9.549757916E-1,8.619110107E0,-8.655921936E0,-5.464726257E1,5.599586905E1
9.649377917E-1,8.573944092E0,-8.740600586E0,-5.468380737E1,5.603774982E1
9.748997916E-1,8.519561768E0,-8.668693542E0,-5.484138489E1,5.617211654E1
9.848617917E-1,8.662139893E0,-8.767112732E0,-5.476066589E1,5.613043259E1
9.948237917E-1,8.635467529E0,-8.712707520E0,-5.473606873E1,5.609384807E1
1.004786792E0,8.631317139E0,-8.695190430E0,-5.466593933E1,5.602205722E1
1.014748792E0,8.746307373E0,-8.738922119E0,-5.482827759E1,5.620504137E1
1.024710792E0,8.669830322E0,-8.697219849E0,-5.480242920E1,5.616149782E1
1.034672792E0,8.643646240E0,-8.710845947E0,-5.477122498E1,5.612912384E1
1.044634792E0,8.643402100E0,-8.712051392E0,-5.480911255E1,5.616624482E1
1.054596792E0,8.682037354E0,-8.754333496E0,-5.464559937E1,5.601926149E1
1.064558792E0,8.592315674E0,-8.629447937E0,-5.467987061E1,5.601949223E1
1.074520792E0,8.682586670E0,-8.693176270E0,-5.486425781E1,5.622317503E1
1.084482792E0,8.768096924E0,-8.564712524E0,-5.479768372E1,5.615175834E1
1.094444792E0,8.628692627E0,-8.599769592E0,-5.476675415E1,5.610532714E1
1.104406792E0,8.599761963E0,-8.681190491E0,-5.465963745E1,5.600888269E1
1.114368792E0,8.403533936E0,-8.612030029E0,-5.481372070E1,5.611889540E1
