"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.476950001E-2,9.138275146E0,-6.518424988E0,-5.422392273E1,5.537356529E1
2.473150007E-2,9.162506104E0,-6.531379700E0,-5.402107239E1,5.518049203E1
3.469450003E-2,9.163970947E0,-6.504158020E0,-5.400680542E1,5.516355198E1
4.465650010E-2,8.947296143E0,-6.290878296E0,-5.395474243E1,5.505218877E1
5.461850006E-2,9.064117432E0,-6.360580444E0,-5.399626160E1,5.511997347E1
6.458150002E-2,9.300872803E0,-6.541847229E0,-5.398229980E1,5.516693477E1
7.454350009E-2,9.219024658E0,-6.526924133E0,-5.403445435E1,5.520247649E1
8.450550004E-2,9.160736084E0,-6.491416931E0,-5.391676331E1,5.507335966E1
9.446850000E-2,9.166168213E0,-6.488182068E0,-5.403085327E1,5.518558010E1
1.044305001E-1,9.184356689E0,-6.560676575E0,-5.381297302E1,5.498391538E1
1.143925000E-1,9.300750732E0,-6.531356812E0,-5.390370178E1,5.508876157E1
1.243555001E-1,9.218048096E0,-6.484748840E0,-5.379969788E1,5.496755288E1
1.343175001E-1,9.030059814E0,-6.497665405E0,-5.382954407E1,5.496709425E1
1.442795000E-1,9.146636963E0,-6.559478760E0,-5.361624146E1,5.478493476E1
1.542425001E-1,9.081329346E0,-6.486160278E0,-5.381991577E1,5.496475372E1
1.642045000E-1,9.075653076E0,-6.404724121E0,-5.365249634E1,5.479031240E1
1.741675001E-1,9.017547607E0,-6.405593872E0,-5.376795959E1,5.489390929E1
1.841295001E-1,8.902496338E0,-6.258590698E0,-5.384242249E1,5.493114652E1
1.940915000E-1,9.065155029E0,-6.224174500E0,-5.390476990E1,5.501492163E1
2.040545001E-1,8.880950928E0,-6.432319641E0,-5.388710022E1,5.499150476E1
2.140165000E-1,8.991668701E0,-6.478507996E0,-5.397853088E1,5.510447321E1
2.239785001E-1,9.061065674E0,-6.396942139E0,-5.404479980E1,5.517122589E1
