"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
8.957458340E-3,1.275402832E1,-3.644583130E1,-8.578359985E1,9.407332173E1
1.898645834E-2,1.277514648E1,-3.652662659E1,-8.588143921E1,9.419671129E1
2.901645834E-2,1.282061768E1,-3.651916504E1,-8.590109253E1,9.421791417E1
3.904545834E-2,1.271075439E1,-3.645208740E1,-8.602215576E1,9.428748186E1
4.907445834E-2,1.271075439E1,-3.645208740E1,-8.602215576E1,9.428748186E1
5.910345833E-2,1.282098389E1,-3.639598846E1,-8.584478760E1,9.411893094E1
6.913245833E-2,1.272314453E1,-3.637760162E1,-8.594302368E1,9.418817137E1
7.916145833E-2,1.270544434E1,-3.631727600E1,-8.588433838E1,9.410893916E1
8.919045833E-2,1.260351562E1,-3.643145752E1,-8.579937744E1,9.406185663E1
9.921945832E-2,1.259747314E1,-3.642677307E1,-8.568136597E1,9.395159711E1
1.092484583E-1,1.254858398E1,-3.636013031E1,-8.604364014E1,9.424984904E1
1.192774583E-1,1.256799316E1,-3.628805542E1,-8.611911011E1,9.429357637E1
1.293064583E-1,1.260009766E1,-3.638999939E1,-8.572503662E1,9.397753146E1
1.393354583E-1,1.266143799E1,-3.635179138E1,-8.607711792E1,9.429228483E1
1.493644583E-1,1.258575439E1,-3.626596832E1,-8.576803589E1,9.396689658E1
1.593944583E-1,1.266436768E1,-3.628250885E1,-8.590002441E1,9.410430836E1
1.694234583E-1,1.266931152E1,-3.618395233E1,-8.601934814E1,9.417599543E1
1.794524583E-1,1.267309570E1,-3.619070435E1,-8.614825439E1,9.429685133E1
1.894814583E-1,1.260675049E1,-3.618251801E1,-8.599664307E1,9.414630840E1
1.995104583E-1,1.283416748E1,-3.627559662E1,-8.596121216E1,9.418049034E1
2.095394583E-1,1.281231689E1,-3.635015869E1,-8.590618896E1,9.415605559E1
2.195684583E-1,1.269818115E1,-3.635820007E1,-8.600158691E1,9.423075649E1
2.295974583E-1,1.266149902E1,-3.627914429E1,-8.586160278E1,9.406755392E1
2.396264583E-1,1.281146240E1,-3.635092926E1,-8.588549805E1,9.413735922E1
2.496554583E-1,1.270245361E1,-3.640384674E1,-8.594543457E1,9.419771817E1
2.596844583E-1,1.270550537E1,-3.636722565E1,-8.605313110E1,9.428226949E1
2.697144583E-1,1.283587646E1,-3.631317139E1,-8.588034058E1,9.412140585E1
2.797434583E-1,1.269232178E1,-3.645882416E1,-8.606713867E1,9.432864491E1
2.897724583E-1,1.271325684E1,-3.629529572E1,-8.603765869E1,9.424146701E1
2.998014583E-1,1.275659180E1,-3.620462036E1,-8.616296387E1,9.432688648E1
3.098304583E-1,1.264959717E1,-3.635073090E1,-8.594641113E1,9.417098031E1
