"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.050658333E-2,3.771145630E1,-5.386935425E1,-6.345953369E1,9.138475628E1
2.046958333E-2,3.773501587E1,-5.384309387E1,-6.345555115E1,9.137623954E1
3.043258333E-2,3.779086304E1,-5.391662598E1,-6.341033936E1,9.141128499E1
4.039558333E-2,3.776107788E1,-5.391195679E1,-6.356297302E1,9.150218373E1
5.035858333E-2,3.776162720E1,-5.397991943E1,-6.347621155E1,9.148224758E1
6.032158333E-2,3.790414429E1,-5.396850586E1,-6.348876953E1,9.154314631E1
7.028358333E-2,3.793081665E1,-5.394132996E1,-6.345550537E1,9.151510854E1
8.024658333E-2,3.789999390E1,-5.398487854E1,-6.353771973E1,9.158503413E1
9.020958333E-2,3.798623657E1,-5.414546204E1,-6.358367920E1,9.174731325E1
1.001725833E-1,3.791452026E1,-5.408868408E1,-6.353964233E1,9.165360190E1
1.101355833E-1,3.786019897E1,-5.387158203E1,-6.355032349E1,9.151057661E1
1.200985833E-1,3.786666870E1,-5.386619568E1,-6.365136719E1,9.158028270E1
1.300615833E-1,3.796109009E1,-5.401586914E1,-6.349826050E1,9.160124216E1
1.400245833E-1,3.789163208E1,-5.391128540E1,-6.351806641E1,9.152457176E1
1.499865833E-1,3.779739380E1,-5.395352173E1,-6.353831482E1,9.152454826E1
1.599495833E-1,3.787100220E1,-5.386427307E1,-6.355993652E1,9.151742048E1
1.699125833E-1,3.791232300E1,-5.371232605E1,-6.373162842E1,9.156461470E1
1.798755833E-1,3.786331177E1,-5.383345032E1,-6.362953186E1,9.154445956E1
1.898385833E-1,3.786441040E1,-5.381666565E1,-6.378936768E1,9.164622472E1
1.998015833E-1,3.786373901E1,-5.386062622E1,-6.364544678E1,9.157168058E1
2.097645833E-1,3.781558228E1,-5.393251038E1,-6.359135437E1,9.155650872E1
2.197275833E-1,3.767080688E1,-5.394734192E1,-6.356204224E1,9.148518243E1
2.296905833E-1,3.779623413E1,-5.383467102E1,-6.356813049E1,9.147477430E1
2.396525833E-1,3.771389771E1,-5.379867554E1,-6.368136597E1,9.149837125E1
